Наименование,Марка,Длина,"Цена за 1т, руб.","Цена за 1т, руб. с НДС",Поставщик
Арматура А1 22,А240С,11.7,52 500>15т,52 5005-15т,Металлоторг Каз (843) 239-53-83
Арматура А1 22,А240С,11.7,52 500>15т,52 5005-15т,Металлоторг Уль (8422) 34-99-00
Арматура А1 22,А240С,11.7,52 500>15т,52 5005-15т,Металлоторг Мск (495) 727-39-74
Арматура А1 22,ст3,6-11.7,54 000,,Омега Металл Мск (495) 334-14-01
Арматура А1 22,А240С,11.7,54 500>15т,54 5005-15т,Металлоторг Бел (4722) 50-90-12
Арматура А1 22,А240С,11.7,54 500>15т,54 5005-15т,Металлоторг Лип (4742) 75-89-66
Арматура А1 22,А240С,11.7,54 500>15т,54 5005-15т,Металлоторг Врнж (473) 233-32-42
Арматура А1 22 уценка,А240,12,55 100,,А ГРУПП Екб (343) 383-04-20
Арматура А1 22,А240,11.7,55 200>1т,55 740<1т,ЕВРАЗ Маркет Екб (800) 511-09-53
Арматура А1 22,А240С,6,55 5805-30т,55 58030т,ТК Стальинтекс Трейд Мск (495) 119-74-02
Арматура А1 22,А240С,11.7,55 5805-30т,55 58030т,ТК Стальинтекс Трейд Мск (495) 119-74-02
Арматура А1 22,А240,11.7,56 000>1т,56 550<1т,ЕВРАЗ Маркет Орен (800) 511-09-53
Арматура А1 22 уценка,А240,12,56 400,,А ГРУПП Чел (351) 751-49-12
Арматура А1 22,ст3,11.7,56 500,,Омега Металл Мск (495) 334-14-01
Арматура А1 22 уценка,А240,12,57 200,,А ГРУПП Уфа (347) 214-51-14
Арматура А1 22,А240,12,57 500,,ДиПОС Мск (495) 504-25-06
Арматура А1 22,А240,6,57 500,,ДиПОС Мск (495) 504-25-06
Арматура А1 22,А240,12,57 500,,ДиПОС Ива (800) 2000-120
Арматура А1 22,А240,6,57 500,,ДиПОС Ива (800) 2000-120
Арматура А1 22,3пс/сп,11.7,57 500,,Ариэль Металл Мск (800) 200-80-21
Арматура А1 22,3пс/сп,11.7,57 900,,Ариэль Металл РнД (863) 443-10-55
Арматура А1 22,А240,11.7,58 000>1т,58 4000.5-1т,Сталепромышленная компания Тула (4872) 63-68-47
Арматура А1 22,А240,11.7,58 000>1т,58 4000.5-1т,Сталепромышленная компания Мск (4912) 77-58-47
Арматура А1 22,А240,11.7,58 000>1т,58 4000.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47
Арматура А1 22,А240,11.7,58 000>1т,58 4000.5-1т,Сталепромышленная компания Яро (4852) 60-85-53
Арматура А1 22,ст3,11.7,58 500,,УВМ-СТАЛЬ Тула (4872) 37-94-95
Арматура А1 22,,11.7,58 800,,РегионСталь Мск (495) 134-05-10
Арматура А1 22,ст3,11.7,59 100,,УВМ-СТАЛЬ Врнж (473) 205-98-95
Арматура А1 22,А240С,11.7,59 200>15т,59 5005-15т,Металлоторг Пят (8793) 36-62-00
Арматура А1 22,А240С,11.7,59 200>15т,59 5005-15т,Металлоторг Став (8652) 50-11-81
Арматура А1 22,3сп,12.05,59 2004-6т,59 6002-4т,МеталлКомплектСнаб Нск (383) 325-31-31
Арматура А1 22,А240,11.7,59 470>1т,60 050<1т,ЕВРАЗ Маркет Крдр (800) 511-09-53
Арматура А1 22,3сп,,59 500>5т,61 500<5т,ТД УралСибТрейд Нск (383) 325-00-02
Арматура А1 22,3пс/сп,11.7,59 600,,Ариэль Металл Крдр (495) 981-41-45
Арматура А1 22,А240С,11.7,59 800>15т,60 1005-15т,Металлоторг Вкз (8672) 40-51-46
Арматура А1 22,3пс/сп,11.7,59 900,,Ариэль Металл СПб (812) 248-08-88
Арматура А1 22,,11.7 6,60 000,,МеталлСервисГрупп Мск (4932) 930-330
Арматура А1 22,,11.7 6,60 000,,МеталлСервисГрупп Ива (4932) 930-330
Арматура А1 22,А240,12,60 500,,СИБМЕТСНАБ Нск (383) 249-37-70
Арматура А1 22,,12,60 510>3т,60 510<3т,ЕВРАЗ Маркет Нкз (800) 511-09-53
Арматура А1 22,А240,11.7,60 590>1т,61 180<1т,ЕВРАЗ Маркет РнД (800) 511-09-53
Арматура А1 22,А240,11.7,60 680>1т,61 270<1т,ЕВРАЗ Маркет Чел (800) 511-09-53
Арматура А1 22,А240С,11.7,61 500,,А ГРУПП Смо (4812) 29-40-50
Арматура А1 22,А240,12,62 000,,СИБМЕТСНАБ Крснк (391) 204-01-35
Арматура А1 22,ст3,6,62 000>1т,63 200<1т,ДиМЕТА Тула (48762) 6-76-35 доб.
Арматура А1 22,А240,11.7,62 150,,А ГРУПП Ввк (4232) 00-39-07
Арматура А1 22,ст3,11.7,62 200,,УВМ-СТАЛЬ Сртв (8452) 75-41-79
Арматура А1 22,ст3,11.7,62 300,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.
Арматура А1 22,3пс/сп,11.7,62 500,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 22,3сп/пс,6,62 500>5т,,ЛенСпецСталь СПб (812) 703-47-77
Арматура А1 22,ст3,11.7,62 700,,УВМ-СТАЛЬ Екб (343) 288-30-30
Арматура А1 22,ст3,11.7,62 700,,УВМ-СТАЛЬ Чел (351) 220-88-08
Арматура А1 22,А240С,11.7,63 000,,Скат Екб (343) 301-12-16
Арматура А1 22,ст3,11.7,63 300,,УВМ-СТАЛЬ Тюм (3452) 65-20-20
Арматура А1 22,,11.75,64 020,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 22,,11.75,65 480,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 22,3сп,11.7,65 500,,Мечел-Сервис Мск (800) 700-95-50
Арматура А1 22,,11.75,65 900,,Российский металл Уфа (347) 222-20-18
Арматура А1 22,А240,5.7,69 000,,Промбаза Восток Екб (343) 365-31-22
Арматура А1 22,,11.7,69 500,,БЛОК Сев (8692) 41-22-18
Арматура А1 22,А240,11.7,74 000,,А ГРУПП Яку (4112) 25-88-75
Арматура А1 22 уценка,А240,11.7,74 500,,А ГРУПП ЮС (4242) 30-35-72
Арматура А1 22,А240,12,звоните,,ДиПОС СПб (812) 320-47-85
Арматура А1 22,,11.7,звоните,,Торговый дом ММК Ряз (4912) 20-66-65
Арматура А1 22,А240,11.7,звоните,,Металлсервис Крдр (861) 265-88-77
Арматура А1 22,А240,11.7,звоните,,Металлсервис Нск (383) 210-56-56
Арматура А1 22,,,звоните,,Брок-Инвест-Сервис и К НН (831) 429-06-25
Арматура А1 22,,,звоните,,Брок-Инвест-Сервис и К Мск (495) 980-98-80
Арматура А1 22,А240,11.7,звоните,,Металлсервис Чеб (8352) 20-22-75
Арматура А1 22,А240,11.7,звоните,,Металлсервис НН (831) 257-79-33
Арматура А1 22,А240,11.7,звоните,,Металлсервис Мск (495) 925-11-55
Арматура А1 22,А240,11.7,звоните,,Металлсервис Таг (863) 437-53-55
Арматура А1 22,,,звоните,,Брок-Инвест-Сервис и К Вмр (495) 980-98-80 д.812
Арматура А1 22,,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92
Арматура А1 22,А240,11.7,звоните,,Металлсервис Пер (342) 249-09-09
Арматура А1 22,А240,11.7,звоните,,Металлсервис Бар (3852) 506-086
Арматура А1 22,ст3,12,звоните,,Металлсервис Бар (3852) 506-086
Арматура А1 22,А240,11.7,звоните,,Металлсервис Бря (4832) 78-31-04
Арматура А1 22,ст3,11.7,звоните,,СтройПартнер РнД (863) 322-40-11
Арматура А1 22,А240,11.7,звоните,,ДиПОС Крдр (861) 234-47-77
Арматура А1 22,А240,12,звоните,,ДиПОС Крдр (861) 234-47-77
Арматура А1 22,А240,11.7,звоните,,Металлсервис Екб (343) 385-58-90
Арматура А1 22,,11.7,звоните,,Торговый дом ММК Мск (495) 604-16-40
Арматура А1 22,А240,11.7,звоните,,Металлсервис Хаб (4212) 46-40-02
Арматура А1 22,,,звоните,,Брок-Инвест-Сервис и К Тула (4872) 25-08-90
Арматура А1 22,ст3,11.7,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20
Арматура А1 22,А240,11.7,звоните,,Металлсервис Сам (846) 300-43-36
Арматура А1 22,А240,11.7,звоните,,Металлсервис Чел (351) 220-75-47
Арматура А1 22,А240,11.7,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 22,А240,11.7,звоните,,Металлсервис СПб (812) 333-20-00
Арматура А1 22,ст3,11.7,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 22,ст3,11.7,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 22,А240,11.7,звоните,,Металлсервис РнД (863) 287-07-07
Арматура А1 22,А240,11.7,звоните,,Металлсервис Сртв (8453) 44-79-00
Арматура А1 22,,,звоните,,Брок-Инвест-Сервис и К Тве (4822) 62-00-10
Арматура А1 22,А240С,11.7,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72
Арматура А1 22,А240,11.7,звоните,,Металлсервис Кур (4712) 77-00-05
Арматура А1 22,А240,11.7,звоните,,Металлсервис Бел (4722) 42-42-58
